# RUN METADATA
# Timestamp,2026-04-15T10:00:13
# Threshold,0.6
# Analysed,460
# Passed,103

ticker,score,reasoning,company_name,sector,industry,current_price,market_cap,pb_ratio,roe,roce,debt_to_equity,profit_cagr_3yr,revenue_cagr_3yr,eps_growth_1yr,pat_margin,gross_margin,gpm,opm,receivables_pct_sales,m_score_components,market_cap_crores,fcf_crores,pe_ratio,m_score_risk
RELINFRA,0.8682,STRONG candidate (Power). Profile: Margin of Safety Play (High Quality + Undervalued). Notable: exceptional capital efficiency (34.0%). Caveat: Missing Growth data.,RELINFRA,Power,Unknown,85.3,0,0.2035207,37.5,34.0,,,7.8,,30.997999999999998,30.293999999999997,31.208084109519717,17.539427948380546,4.05408366187272,"{'dsri': np.float64(0.8271786588203647), 'gmi': np.float64(0.8171075675987733), 'sgi': np.float64(1.0725221510092935), 'lvgi': np.float64(0.5778088184713448), 'tata': np.float64(0.01945372228526142)}",3561.0,3657.0,0.72,LOW
IREDA,0.8622,STRONG candidate (Financial Services). Profile: High-Risk Financial (NPA Threat). Caveat: Missing Quality data.,IREDA,Financial Services,Unknown,126.5,0,2.624699,,,,38.92,33.53,32.5,45.951,99.28,65.12369648053522,62.80720150121929,0.04789518056634162,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",,,18.467154,LOW
MAHABANK,0.8607,STRONG candidate (Financial Services). Profile: High-Quality Financial Franchise. Notable: stellar profit growth (68.7%). Caveat: Missing Moat data.,MAHABANK,Financial Services,Unknown,71.54,0,1.6464145,22.8,5.72,,68.74,18.88,27.200000000000003,49.323002,0.0,,,,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",55210.0,7628.0,8.51,LOW
M&M,0.8539,STRONG candidate (Automobile and Auto Components). Profile: Average Performer (Requires Strict Checklist Review).,M&M,Automobile and Auto Components,Unknown,3246.5,0,4.3753724,20.8,27.0,,25.27,20.73,46.800000000000004,8.326,38.946,38.078377716096206,15.790554752518643,5.319596626328357,"{'dsri': np.float64(0.9684657482279656), 'gmi': np.float64(0.9978629411360379), 'sgi': np.float64(1.1461103629278375), 'lvgi': np.float64(0.9975617354856089), 'tata': np.float64(0.0351360677889436)}",402872.0,16617.0,26.2,LOW
CANBK,0.8281,STRONG candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (42.0%). Caveat: Missing Moat data.,CANBK,Financial Services,Unknown,141.81,0,1.0963278,17.8,6.79,,42.01,12.61,24.5,34.346,0.0,,,,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",128985.0,60669.0,6.4,LOW
GESHIP,0.8094,STRONG candidate (Services). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (55.0%).,GESHIP,Services,Unknown,1397.4,0,1.3105401,15.2,14.9,,54.99,15.04,36.9,44.164002,61.705,42.19893643788037,35.08184812363201,4.728708420907263,"{'dsri': np.float64(0.7653864735243948), 'gmi': np.float64(1.1001958495619186), 'sgi': np.float64(1.0213288456262244), 'lvgi': np.float64(0.6755061172575295), 'tata': np.float64(-0.017167299324975672)}",19912.0,2209.0,11.5,LOW
HAL,0.8084,STRONG candidate (Capital Goods). Profile: Average Performer (Requires Strict Checklist Review). Notable: exceptional capital efficiency (33.9%).,HAL,Capital Goods,Unknown,4232.6,0,7.6259904,26.1,33.9,,18.08,7.31,29.599999999999998,27.084000000000003,57.620000000000005,42.0168086766547,28.019554428230286,15.438757216898763,"{'dsri': np.float64(0.9417345958100898), 'gmi': np.float64(1.0093552664449525), 'sgi': np.float64(1.0689864675323753), 'lvgi': np.float64(0.7749821989727662), 'tata': np.float64(-0.049679933111784154)}",280889.0,13643.0,31.6,LOW
ADANIPORTS,0.8072,STRONG candidate (Services). Profile: High-Growth (Low Margin of Safety).,ADANIPORTS,Services,Unknown,1499.9,0,4.8311563,18.8,13.8,,31.43,21.53,20.3,34.236,65.366,60.32545012638091,46.32720958230805,14.544091893344552,"{'dsri': np.float64(1.0594142232016157), 'gmi': np.float64(0.9556579298588906), 'sgi': np.float64(1.1409468764413775), 'lvgi': np.float64(0.9169240101325492), 'tata': np.float64(-0.045325271001593635)}",345721.0,17226.0,27.4,LOW
EICHERMOT,0.7993,STRONG candidate (Automobile and Auto Components). Profile: Consistent Wealth Creator (Strong Economic Moat). Notable: stellar profit growth (41.3%).,EICHERMOT,Automobile and Auto Components,Unknown,7118.5,0,8.840046,25.1,31.7,,41.34,22.33,21.3,23.883,43.028,42.90905108961437,21.595234922897085,2.9649032997252704,"{'dsri': np.float64(1.287717359564611), 'gmi': np.float64(1.0069432973064436), 'sgi': np.float64(1.1419358852582417), 'lvgi': np.float64(0.9295987428920484), 'tata': np.float64(0.027765828218533538)}",195172.0,3830.0,39.2,LOW
HOMEFIRST,0.7806,STRONG candidate (Financial Services). Profile: High-Risk Financial (NPA Threat). Caveat: Missing Quality data.,HOMEFIRST,Financial Services,Unknown,1095.05,0,2.818618,,,,27.1,40.45,25.3,50.243,99.958,36.813463723482755,26.805753181164548,0.41864774289339984,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",,,22.357086,LOW
